time_s,current_A
0,2
1,2.001745813313549
2,2.003491621306091
3,2.005237418656638
4,2.006983200044233
5,2.008728960147967
6,2.010474693646995
7,2.012220395220557
8,2.013966059547986
9,2.01571168130873
10,2.017457255182368
11,2.019202775848624
12,2.020948237987384
13,2.022693636278712
14,2.024438965402867
15,2.02618422004032
16,2.027929394871767
17,2.029674484578148
18,2.031419483840664
19,2.033164387340789
20,2.03490918976029
21,2.036653885781243
22,2.038398470086048
23,2.040142937357444
24,2.041887282278528
25,2.04363149953277
26,2.045375583804028
27,2.047119529776567
28,2.048863332135072
29,2.050606985564666
30,2.052350484750927
31,2.054093824379902
32,2.055836999138125
33,2.057580003712631
34,2.059322832790976
35,2.06106548106125
36,2.062807943212092
37,2.064550213932712
38,2.0662922879129
39,2.068034159843049
40,2.069775824414164
41,2.071517276317885
42,2.073258510246499
43,2.074999520892958
44,2.076740302950893
45,2.078480851114634
46,2.080221160079222
47,2.081961224540427
48,2.083701039194767
49,2.085440598739517
50,2.087179897872733
51,2.088918931293263
52,2.090657693700766
53,2.092396179795727
54,2.09413438427947
55,2.095872301854183
56,2.097609927222923
57,2.099347255089641
58,2.101084280159194
59,2.102820997137361
60,2.10455740073086
61,2.106293485647365
62,2.108029246595522
63,2.109764678284964
64,2.111499775426324
65,2.113234532731261
66,2.114968944912464
67,2.116703006683678
68,2.118436712759713
69,2.120170057856465
70,2.12190303669093
71,2.123635643981219
72,2.125367874446577
73,2.127099722807396
74,2.128831183785236
75,2.130562252102832
76,2.132292922484122
77,2.134023189654251
78,2.135753048339597
79,2.137482493267782
80,2.139211519167688
81,2.140940120769477
82,2.142668292804599
83,2.14439603000582
84,2.146123327107224
85,2.147850178844243
86,2.149576579953663
87,2.151302525173643
88,2.153028009243732
89,2.154753026904888
90,2.156477572899484
91,2.158201641971336
92,2.159925228865712
93,2.161648328329348
94,2.163370935110468
95,2.165093043958796
96,2.166814649625575
97,2.16853574686358
98,2.170256330427137
99,2.171976395072137
100,2.173695935556053
101,2.175414946637954
102,2.177133423078525
103,2.178851359640078
104,2.180568751086574
105,2.182285592183632
106,2.184001877698549
107,2.185717602400317
108,2.187432761059636
109,2.18914734844893
110,2.190861359342368
111,2.192574788515873
112,2.19428763074714
113,2.195999880815657
114,2.197711533502713
115,2.19942258359142
116,2.201133025866725
117,2.202842855115429
118,2.204552066126201
119,2.206260653689593
120,2.20796861259806
121,2.20967593764597
122,2.211382623629624
123,2.213088665347273
124,2.214794057599127
125,2.21649879518738
126,2.21820287291622
127,2.219906285591844
128,2.221609028022479
129,2.223311095018392
130,2.225012481391912
